Timestamp,MaintenanceType,Details
2023-01-01,Corrective,Equipment Repair
2023-01-02,Corrective,Equipment Repair
2023-01-03,Routine,Lubrication
2023-01-04,Routine,Calibration
2023-01-05,Corrective,Equipment Repair
2023-01-06,Routine,Calibration
2023-01-07,Corrective,Equipment Repair
2023-01-08,Corrective,Equipment Repair
2023-01-09,Corrective,Equipment Repair
2023-01-10,Routine,Calibration
2023-01-11,Corrective,Equipment Repair
2023-01-12,Corrective,Equipment Repair
2023-01-13,Routine,Calibration
2023-01-14,Routine,Bearing Replacement
2023-01-15,Routine,Bearing Replacement
2023-01-16,Routine,Lubrication
2023-01-17,Corrective,Equipment Repair
2023-01-18,Routine,Calibration
2023-01-19,Corrective,Equipment Repair
2023-01-20,Routine,Bearing Replacement
2023-01-21,Routine,Calibration
2023-01-22,Routine,Calibration
2023-01-23,Routine,Lubrication
2023-01-24,Routine,Lubrication
2023-01-25,Routine,Lubrication
2023-01-26,Corrective,Equipment Repair
2023-01-27,Routine,Calibration
2023-01-28,Routine,Lubrication
2023-01-29,Routine,Lubrication
2023-01-30,Routine,Lubrication
2023-01-31,Corrective,Equipment Repair
